Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Bangladesh;BGD;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146,3863;152,7552;156,6666;159,8189;160,7511;166,3844;171,509;176,3371;186,8756;192,1282;200,5027;205,453;210,3813;213,2433;219,9526;228,9391;235,9931;247,9446;252,9384;256,2213;251,9336;269,7854;278,8632;281,7548;
Bulgaria;BGR;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,4172;50,2421;46,6695;53,0485;50,6858;50,4048;54,7559;57,4932;55,8874;47,4162;50,7421;59,5862;54,7005;50,4166;51,7884;56,1005;51,7872;54,1724;50,4353;49,0805;44,1783;50,7174;54,9484;44,6318;
Bahrain;BHR;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,5611;38,5842;38,0876;37,7342;37,6694;41,1268;42,7441;43,8542;47,3435;47,9264;48,2684;48,6367;52,3998;56,969;58,8021;58,9858;59,2182;59,0537;59,1128;62,9953;63,1595;63,3628;62,4805;63,7089;
Bahamas, The;BHS;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6356;3,636;3,7371;3,4583;3,5325;2,1008;2,344;2,5723;2,6316;2,392;4,6351;4,2125;4,3796;4,4623;4,5089;4,4323;4,563;4,7001;4,8705;5,108;4,7701;4,9279;4,9366;5,0294;
Bosnia and Herzegovina;BIH;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,8227;12,1279;15,7194;15,8669;15,0591;15,6988;18,1957;18,9003;20,6102;19,7913;22,6516;25,72;21,9665;23,1878;21,465;21,421;24,8288;25,4314;25,834;24,1278;24,0468;23,8807;23,8417;23;
Belarus;BLR;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,5403;50,0701;51,4847;54,7837;56,247;54,3001;54,4784;50,9032;58,2092;52,3694;53,7471;51,737;54,9532;53,2103;53,1517;50,5928;53,9578;59,3512;60,0253;62,2415;58,0365;52,1533;51,5477;42,9681;
Belize;BLZ;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13,206;-8,941;-8,6015;-11,3324;-12,3588;-12,4223;-10,7059;-10,9356;-11,2594;-9,4821;-11,6014;-3,4214;-7,2446;-5,3436;-8,9631;-5,6899;-5,9736;-6,2393;-10,4016;-8,0022;-8,0498;-8,015;-7,9917;-7,9628;
Bermuda;BMU;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70,0881;68,5795;69,7716;70,7199;72,0845;72,6481;73,6925;78,3849;72,3073;73,7073;77,0636;77,8365;79,5848;81,3876;82,4143;83,378;85,127;85,7626;86,4142;87,3187;84,1521;88,2445;89,6385;91,3217;
Brazil;BRA;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007,0368;1968,117;2190,2693;3256,7191;3491,235;2499,6302;2159,5042;1840,0122;1974,538;1353,7209;1368,7778;1456,6382;1345,4621;1610,254;1497,153;1590,139;1626,2028;1518,5295;1542,2667;1743,2653;1832,6781;2119,8838;2049,9563;2051,6358;
